curve,train_K,method,split,K,seed,metric,value,dataset
maxpool,,TargetNet_like_maxpool,test,32,1,aupr,0.825930598,deepTargetPro
maxpool,,TargetNet_like_maxpool,test,32,1,auroc,0.902109995,deepTargetPro
maxpool,,TargetNet_like_maxpool,test,32,2,aupr,0.826880747,deepTargetPro
maxpool,,TargetNet_like_maxpool,test,32,2,auroc,0.902457225,deepTargetPro
maxpool,,TargetNet_like_maxpool,test,64,0,aupr,0.827065385,deepTargetPro
maxpool,,TargetNet_like_maxpool,test,64,0,auroc,0.902021212,deepTargetPro
maxpool,,TargetNet_like_maxpool,test,64,1,aupr,0.825976702,deepTargetPro
maxpool,,TargetNet_like_maxpool,test,64,1,auroc,0.902036225,deepTargetPro
maxpool,,TargetNet_like_maxpool,test,64,2,aupr,0.824712666,deepTargetPro
maxpool,,TargetNet_like_maxpool,test,64,2,auroc,0.90094231,deepTargetPro
maxpool,,TargetNet_like_maxpool,test,128,0,aupr,0.8250773,deepTargetPro
maxpool,,TargetNet_like_maxpool,test,128,0,auroc,0.901302203,deepTargetPro
maxpool,,TargetNet_like_maxpool,test,128,1,aupr,0.826799774,deepTargetPro
maxpool,,TargetNet_like_maxpool,test,128,1,auroc,0.901375617,deepTargetPro
maxpool,,TargetNet_like_maxpool,test,128,2,aupr,0.826021837,deepTargetPro
maxpool,,TargetNet_like_maxpool,test,128,2,auroc,0.903139383,deepTargetPro
maxpool,,TargetNet_like_maxpool,test,256,0,aupr,0.826043736,deepTargetPro
maxpool,,TargetNet_like_maxpool,test,256,0,auroc,0.902690012,deepTargetPro
maxpool,,TargetNet_like_maxpool,test,256,1,aupr,0.825466382,deepTargetPro
maxpool,,TargetNet_like_maxpool,test,256,1,auroc,0.90193565,deepTargetPro
maxpool,,TargetNet_like_maxpool,test,256,2,aupr,0.825449978,deepTargetPro
maxpool,,TargetNet_like_maxpool,test,256,2,auroc,0.901828774,deepTargetPro
retrain,64.0,BRMIL,test,64,2020,aupr,0.8295,MTI
retrain,64.0,BRMIL,test,64,2020,f1@0.5,0.7708,MTI
retrain,128.0,BRMIL,test,128,2020,aupr,0.8602,MTI
retrain,128.0,BRMIL,test,128,2020,f1@0.5,0.7795,MTI
retrain,256.0,BRMIL,test,256,2020,aupr,0.8585,MTI
retrain,256.0,BRMIL,test,256,2020,f1@0.5,0.7857,MTI
retrain,512.0,BRMIL,test,512,2020,aupr,0.8729,MTI
retrain,512.0,BRMIL,test,512,2020,f1@0.5,0.7914,MTI
