gene ID,gene name,mRNA,miRNAs
WBGene00000018,abl-1,M79.1g.1,"cel-miR-55-3p,cel-miR-72-5p,cel-miR-1-3p,cel-miR-233-3p,cel-miR-60-3p,cel-miR-73-3p,cel-miR-241-5p,cel-miR-63-3p,cel-miR-44-3p,cel-miR-74-3p,cel-miR-787-3p,cel-miR-37-3p,cel-miR-54-3p,cel-miR-795-5p,cel-miR-39-3p,cel-miR-84-5p,cel-miR-81-3p,cel-miR-52-5p,cel-miR-58a-5p,cel-miR-245-3p,cel-miR-228-5p,cel-miR-71-3p,cel-miR-50-5p,cel-miR-56-3p,cel-miR-244-5p,cel-miR-48-5p,cel-miR-47-3p,cel-miR-46-3p,cel-miR-5595-3p,cel-miR-2-3p,cel-miR-65-5p,cel-miR-53-5p,cel-miR-51-5p,cel-miR-788-5p,cel-miR-58a-3p,cel-miR-82-3p,cel-miR-80-3p,cel-miR-229-5p,cel-miR-237-5p,cel-miR-48-3p,cel-miR-355-5p,cel-miR-235-3p,cel-miR-238-3p,cel-miR-70-3p,cel-miR-77-3p,cel-miR-71-5p,cel-miR-57-5p,cel-miR-72-3p,cel-miR-34-3p,cel-miR-45-3p,cel-miR-35-3p,cel-let-7-5p,cel-miR-64-5p,cel-miR-90-3p,cel-lin-4-5p"
WBGene00000018,abl-1,M79.1h.1,"cel-miR-72-5p,cel-miR-55-3p,cel-miR-1-3p,cel-miR-233-3p,cel-miR-60-3p,cel-miR-73-3p,cel-miR-241-5p,cel-miR-63-3p,cel-miR-44-3p,cel-miR-74-3p,cel-miR-787-3p,cel-miR-37-3p,cel-miR-795-5p,cel-miR-54-3p,cel-miR-39-3p,cel-miR-84-5p,cel-miR-81-3p,cel-miR-52-5p,cel-miR-58a-5p,cel-miR-245-3p,cel-miR-228-5p,cel-miR-71-3p,cel-miR-50-5p,cel-miR-56-3p,cel-miR-244-5p,cel-miR-48-5p,cel-miR-47-3p,cel-miR-46-3p,cel-miR-5595-3p,cel-miR-2-3p,cel-miR-65-5p,cel-miR-51-5p,cel-miR-788-5p,cel-miR-58a-3p,cel-miR-82-3p,cel-miR-80-3p,cel-miR-229-5p,cel-miR-237-5p,cel-miR-48-3p,cel-miR-355-5p,cel-miR-235-3p,cel-miR-238-3p,cel-miR-70-3p,cel-miR-77-3p,cel-miR-71-5p,cel-miR-57-5p,cel-miR-72-3p,cel-miR-45-3p,cel-let-7-5p,cel-miR-64-5p,cel-miR-90-3p,cel-lin-4-5p"
WBGene00000019,abt-1,C24F3.5a.1,"cel-miR-788-5p,cel-miR-55-3p,cel-miR-58a-3p,cel-miR-1-3p,cel-miR-60-3p,cel-miR-241-5p,cel-miR-229-5p,cel-miR-80-3p,cel-miR-237-5p,cel-miR-86-5p,cel-miR-234-3p,cel-miR-34-5p,cel-miR-54-3p,cel-miR-81-3p,cel-miR-70-3p,cel-miR-77-3p,cel-miR-52-5p,cel-miR-228-5p,cel-miR-244-5p,cel-let-7-5p,cel-miR-90-3p,cel-lin-4-5p,cel-miR-42-3p"
WBGene00000019,abt-1,C24F3.5b.1,"cel-miR-788-5p,cel-miR-55-3p,cel-miR-58a-3p,cel-miR-1-3p,cel-miR-60-3p,cel-miR-229-5p,cel-miR-80-3p,cel-miR-237-5p,cel-miR-86-5p,cel-miR-234-3p,cel-miR-34-5p,cel-miR-54-3p,cel-miR-81-3p,cel-miR-70-3p,cel-miR-77-3p,cel-miR-52-5p,cel-miR-228-5p,cel-miR-244-5p,cel-let-7-5p,cel-miR-90-3p,cel-lin-4-5p,cel-miR-42-3p"
WBGene00000020,abt-2,F12B6.1a.1,"cel-miR-55-3p,cel-miR-72-5p,cel-miR-1-3p,cel-miR-60-3p,cel-miR-239b-5p,cel-miR-786-3p,cel-miR-54-3p,cel-miR-239a-5p,cel-miR-52-5p,cel-miR-228-5p,cel-miR-56-3p,cel-miR-244-5p,cel-miR-48-5p,cel-miR-47-3p,cel-miR-2-3p,cel-miR-53-5p,cel-miR-65-5p,cel-miR-788-5p,cel-miR-51-5p,cel-miR-58a-3p,cel-miR-797-5p,cel-miR-80-3p,cel-miR-229-5p,cel-miR-61-3p,cel-miR-70-3p,cel-miR-77-3p,cel-miR-71-5p,cel-miR-35-3p,cel-miR-252-5p,cel-let-7-5p,cel-miR-64-5p,cel-miR-90-3p,cel-lin-4-5p"
WBGene00000020,abt-2,F12B6.1b.1,"cel-miR-55-3p,cel-miR-72-5p,cel-miR-1-3p,cel-miR-60-3p,cel-miR-239b-5p,cel-miR-786-3p,cel-miR-54-3p,cel-miR-239a-5p,cel-miR-52-5p,cel-miR-228-5p,cel-miR-56-3p,cel-miR-244-5p,cel-miR-48-5p,cel-miR-47-3p,cel-miR-2-3p,cel-miR-53-5p,cel-miR-65-5p,cel-miR-788-5p,cel-miR-51-5p,cel-miR-58a-3p,cel-miR-80-3p,cel-miR-229-5p,cel-miR-61-3p,cel-miR-70-3p,cel-miR-77-3p,cel-miR-71-5p,cel-miR-35-3p,cel-miR-252-5p,cel-let-7-5p,cel-miR-64-5p,cel-miR-90-3p,cel-lin-4-5p"
WBGene00000022,abt-4,Y39D8C.1.1,"cel-miR-72-5p,cel-miR-1-3p,cel-miR-60-3p,cel-miR-241-5p,cel-miR-44-3p,cel-miR-74-3p,cel-miR-37-3p,cel-miR-234-3p,cel-miR-247-3p,cel-miR-54-3p,cel-miR-84-5p,cel-miR-81-3p,cel-miR-52-5p,cel-miR-228-5p,cel-miR-232-3p,cel-miR-244-5p,cel-miR-47-3p,cel-miR-46-3p,cel-miR-53-5p,cel-miR-65-5p,cel-miR-51-5p,cel-miR-788-5p,cel-miR-251,cel-miR-58a-3p,cel-miR-229-3p,cel-miR-80-3p,cel-miR-66-5p,cel-miR-86-5p,cel-miR-235-3p,cel-miR-238-3p,cel-miR-70-3p,cel-miR-71-5p,cel-miR-1820-5p,cel-miR-45-3p,cel-let-7-5p,cel-miR-64-5p,cel-miR-90-3p,cel-lin-4-5p"
WBGene00000023,abt-5,Y53C10A.9.1,"cel-miR-51-5p,cel-miR-788-5p,cel-miR-70-5p,cel-miR-58a-3p,cel-miR-1-3p,cel-miR-241-5p,cel-miR-229-5p,cel-miR-63-3p,cel-miR-74-3p,cel-miR-86-5p,cel-miR-37-3p,cel-miR-54-3p,cel-miR-235-3p,cel-miR-238-3p,cel-miR-71-5p,cel-miR-57-5p,cel-miR-52-5p,cel-miR-75-3p,cel-miR-228-5p,cel-miR-244-5p,cel-miR-48-5p,cel-miR-1822-3p,cel-miR-2-3p,cel-miR-64-5p,cel-miR-90-3p,cel-miR-65-5p"
WBGene00000024,abu-1,AC3.3.1,"cel-miR-788-5p,cel-miR-72-5p,cel-miR-52-5p,cel-miR-228-5p,cel-miR-1-3p,cel-miR-73-3p,cel-miR-74-3p,cel-miR-8187-3p,cel-miR-8188-5p,cel-miR-64-5p"
WBGene00000025,abu-2,F19G12.7.1,"cel-miR-242,cel-miR-55-3p,cel-miR-228-5p,cel-miR-72-5p,cel-miR-229-5p,cel-miR-50-5p,cel-miR-80-3p"
